PRODUCTID,LANGUAGE,SHORT_DESCR,MEDIUM_DESCR,LONG_DESCR
HB-1171,FR,Star Cruise vélo hybride,Star Cruise vélo hybride polyvalent,"Le Star Cruise combine efficacité route et stabilité VTT."
HB-1171,ES,Star Cruise bicicleta híbrida,Star Cruise bicicleta híbrida versátil,"La Star Cruise combina eficiencia en carretera y estabilidad tipo montaña."
HB-1172,EN,Star Cruise II,Star Cruise II upgraded hybrid bike with enhanced comfort,"The Star Cruise II offers improved suspension and ergonomic features for versatile performance. Suitable for mixed terrain and daily commuting."
HB-1172,DE,Star Cruise II Hybridrad,Star Cruise II Komfort-Hybridrad,"Das Star Cruise II verbessert Ergonomie und Federung."
HB-1172,FR,Star Cruise II vélo hybride,Star Cruise II hybride confort amélioré,"Le Star Cruise II optimise ergonomie et suspension."
HB-1172,ES,Star Cruise II bicicleta híbrida,Star Cruise II híbrida confort mejorado,"La Star Cruise II mejora ergonomía y suspensión."
HB-1173,EN,Universal One,UUniversal One all-purpose hybrid bike for varied terrain,"The Universal One integrates road and trail capabilities into a practical design. With durable components and comfortable geometry, it supports flexible riding styles."
HB-1173,DE,Universal One Hybridrad,Universal One Allround-Hybrid,"Das Universal One eignet sich für unterschiedliche Untergründe."
HB-1173,FR,Universal One vélo hybride,Universal One hybride tout-terrain,"Le Universal One s’adapte à différents types de surfaces."
HB-1173,ES,Universal One bicicleta híbrida,Universal One híbrida todoterreno,"La Universal One se adapta a diferentes tipos de superficies."
HB-1174,EN,Universal Two,Universal Two performance hybrid bike with balanced handling,"The Universal Two enhances ride stability and efficiency across paved and gravel surfaces. Designed for riders seeking adaptability and reliability."
HB-1174,DE,Universal Two Hybridrad,Universal Two Performance-Hybrid,"Das Universal Two bietet ausgewogene Geometrie für Alltag und Freizeit."
HB-1174,FR,Universal Two vélo hybride,Universal Two hybride performance équilibrée,"Le Universal Two assure stabilité et efficacité au quotidien."
HB-1174,ES,Universal Two bicicleta híbrida,Universal Two híbrida rendimiento equilibrado,"La Universal Two ofrece estabilidad y eficiencia para uso diario."
HB-1175,EN,Specifica,Specifica versatile hybrid bike for efficient mobility,"The Specifica delivers dependable performance for daily commuting and recreational use. Its combination of lightweight structure and stable handling ensures comfort and speed."
HB-1175,DE,Specifica Hybridrad,Specifica vielseitiges Hybridmodell,"Das Specifica kombiniert Effizienz und Stabilität."
HB-1175,FR,Specifica vélo hybride,Specifica modèle hybride polyvalent,"Le Specifica associe efficacité et robustesse pour usage mixte."
HB-1175,ES,Specifica bicicleta híbrida,Specifica modelo híbrido versátil,"La Specifica combina eficiencia y robustez para uso mixto."
HB-1176,EN,Specifica Gold,SSpecifica Gold premium hybrid bike with refined components,"The Specifica Gold upgrades the hybrid concept with enhanced drivetrain precision and comfort features. Built for riders who demand versatility and elevated ride quality."
HB-1176,DE,Specifica Gold Hybridrad,Specifica Gold Premium-Hybrid,"Das Specifica Gold erweitert das Konzept um hochwertige Antriebskomponenten."
HB-1176,FR,Specifica Gold vélo hybride,Specifica Gold hybride premium,"Le Specifica Gold complète la gamme avec composants haut de gamme."
HB-1176,ES,Specifica Gold bicicleta híbrida,Specifica Gold híbrida premium,"La Specifica Gold completa la gama con componentes de alta calidad."
